"receita";"uniorcam";"arrecadado_janeiro";"arrecadado_fevereiro";"arrecadado_marco";"arrecadado_abril";"arrecadado_maio";"arrecadado_junho";"arrecadado_julho";"arrecadado_agosto";"arrecadado_setembro";"arrecadado_outubro";"arrecadado_novembro";"arrecadado_dezembro";"meta_1bim";"meta_2bim";"meta_3bim";"meta_4bim";"meta_5bim";"meta_6bim";"caracteristica_peculiar_receita";"recurso_vinculado";"complemento_recurso_vinculado";"exercicio_base"
"00000111801140300000";"0201";52,96;95;533,17;229,85;470,52;165,44;324,91;61,17;292,86;79,04;226,17;172,66;600,76;600,76;600,76;600,76;600,76;600,74;0;40;NA;2018
"00000111801400000000";"0201";13990;14861;18392;46644;132925,66;376074;44438,1;43944;77211;141000;17673;26049;74002,26;74002,26;74002,26;74002,26;80822,26;498432,35;0;0;NA;2018
"00000111801410000000";"0201";13990;14861;18392;46644;132925,66;376074;44438,1;43944;77211;141000;17673;26049;74002,26;74002,26;74002,26;74002,26;80822,26;498432,35;0;0;NA;2018
"00000111801410100000";"0201";8394;8916,6;11035,2;27986,4;79755,39;225644,4;26662,85;26366,4;46326,6;84600;10603,8;15629,4;44401,36;44401,36;44401,36;44401,36;44401,36;305401,39;0;1;NA;2018
"00000111801410200000";"0201";3497,5;3715,25;4598;11661;33231,42;94018,5;11109,53;10986;19302,75;35250;4418,25;6512,25;18500,56;18500,56;18500,56;18500,56;25320,56;119680,61;0;20;NA;2018
"00000111801410300000";"0201";2098,5;2229,15;2758,8;6996,6;19938,85;56411,1;6665,72;6591,6;11581,65;21150;2650,95;3907,35;11100,34;11100,34;11100,34;11100,34;11100,34;73350,35;0;40;NA;2018
"00000111802000000000";"0201";21683,3;19266,05;22247,58;22245,04;28091,49;21442,1;30606,84;28850,64;34185,24;31585,02;30239,05;30756,51;43699,62;43699,62;43699,62;43699,62;43699,62;73699,58;0;0;NA;2018
"00000111802300000000";"0201";21683,3;19266,05;22247,58;22245,04;28091,49;21442,1;30606,84;28850,64;34185,24;31585,02;30239,05;30756,51;43699,62;43699,62;43699,62;43699,62;43699,62;73699,58;0;0;NA;2018
"00000111802310000000";"0201";21244,94;19130,42;22041,19;22075,48;27810,86;21232,71;30192,71;28249,1;33848,11;31299,29;29797,62;30551,85;43328,32;43328,32;43328,32;43328,32;43328,32;73328,33;0;0;NA;2018
"00000111802310100000";"0201";12746,95;11478,19;13224,64;13245,24;16686,42;12739,53;18115,56;16949,37;20308,73;18779,51;17878,52;18331,09;25997;25997;25997;25997;25997;43996,96;0;1;NA;2018
"00000111802310200000";"0201";5311,26;4782,65;5510,34;5518,88;6952,78;5308,25;7548,21;7062,32;8462,12;7824,89;7449,45;7637,99;10832,08;10832,08;10832,08;10832,08;10832,08;18332,08;0;20;NA;2018
"00000111802310300000";"0201";3186,73;2869,58;3306,21;3311,36;4171,66;3184,93;4528,94;4237,41;5077,26;4694,89;4469,65;4582,77;6499,24;6499,24;6499,24;6499,24;6499,24;10999,29;0;40;NA;2018
"00000111802320000000";"0201";249,53;135,63;70,52;169,56;280,63;209,39;414,13;601,54;337,13;285,73;371,99;122,8;371,3;371,3;371,3;371,3;371,3;371,25;0;0;NA;2018
"00000111802320100000";"0201";149,71;81,37;42,32;101,74;168,37;125,63;248,47;360,92;202,27;171,44;223,18;73,67;222,78;222,78;222,78;222,78;222,78;222,75;0;1;NA;2018
"00000111802320200000";"0201";62,39;33,91;17,62;42,39;70,17;52,35;103,54;150,39;84,29;71,43;93;30,71;92,82;92,82;92,82;92,82;92,82;92,84;0;20;NA;2018
"00000111802320300000";"0201";37,43;20,35;10,58;25,43;42,09;31,41;62,12;90,23;50,57;42,86;55,81;18,42;55,7;55,7;55,7;55,7;55,7;55,66;0;40;NA;2018
"00000111802330000000";"0201";151;0;100;0;0;0;0;0;0;0;52;70,89;0;0;0;0;0;0;0;0;NA;2018
