"uniorcam";"funcao";"subfuncao";"programa";"obsoleto1";"projativ";"elemento";"recurso_vinculado";"dotacao_inicial";"atualizacao_monetaria";"credito_suplementar";"credito_especial";"credito_extraordinario";"reducao_dotacao";"suplementacao_recurso_vinculado";"reducao_recurso_vinculado";"empenhado";"liquidado";"pago";"limitado";"recomposto";"previsao_ate_termino";"complemento_recurso_vinculado";"exercicio_base"
"0502";12;128;2;"000";2017;"339033";20;1000;0;200;0;0;400;0;0;722,8;722,8;722,8;0;0;800;NA;2018
"0502";12;128;2;"000";2017;"339036";20;1000;0;0;0;0;1000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;128;2;"000";2017;"339039";20;12000;0;3010;0;0;0;0;0;14853;14853;14853;0;0;15010;NA;2018
"0502";12;128;2;"000";2017;"339093";20;1900;0;0;0;0;1000;0;0;682;682;682;0;0;900;NA;2018
"0502";12;361;2;"000";1007;"339032";20;18000;0;0;0;0;18000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";1010;"339030";20;4000;0;0;0;0;4000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";1010;"339039";20;5000;0;0;0;0;5000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";1010;"449052";20;20000;0;0;0;0;20000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";1011;"339030";20;9000;0;0;0;0;9000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";1011;"339039";20;9000;0;0;0;0;9000;0;0;0;0;0;0;0;0;NA;2018
"0502";12;361;2;"000";1012;"449030";20;15000;0;380;0;0;15000;0;0;380;380;380;0;0;380;NA;2018
"0502";12;361;2;"000";1012;"449039";20;15000;0;550;0;0;15000;0;0;550;550;550;0;0;550;NA;2018
"0502";12;361;2;"000";1012;"449051";20;20000;0;33000;0;0;33549,25;0;0;19450,75;19450,75;19450,75;0;0;19450,75;NA;2018
"0502";12;361;2;"000";1012;"449051";1010;0;0;44331,44;0;0;19450,75;0;0;24880,69;24880,69;24880,69;0;0;24880,69;NA;2018
"0502";12;361;2;"000";1012;"449052";20;10000;0;700;0;0;9234;0;0;1466;1466;1466;0;0;1466;NA;2018
